AnoMes,Ano,Mes,GHI_medio_diario_Wh_m2,T2M_medio_C,60CEL_E_mensal_kWh,60CEL_FatorCapacidade_pct,72CEL_E_mensal_kWh,72CEL_FatorCapacidade_pct,MODERNO_E_mensal_kWh,MODERNO_FatorCapacidade_pct
2025-05,2025,5,5000.00193548387,21.6300806451613,40.9813167247704,0.153006708201801,50.0882759969416,0.153006708201801,77.6368277952595,0.153006708201801
2025-06,2025,6,4689.90166666667,21.0011111111111,37.382784285222,0.144223704804097,45.690069681938,0.144223704804097,70.8196080070039,0.144223704804097
2025-07,2025,7,5046.23451612903,21.0083064516129,41.3224061922828,0.154280190383374,50.5051631239012,0.154280190383374,78.2830028420469,0.154280190383374
2025-08,2025,8,5697.32741935484,22.9656317204301,45.85801155633,0.171214200852487,56.04868079107,0.171214200852487,86.8754552261585,0.171214200852487
2025-09,2025,9,5954.893,25.9124027777778,45.7149451227876,0.176369387047792,55.8738218167404,0.176369387047792,86.6044238159476,0.176369387047792
2025-10,2025,10,6136.67419354839,26.2562096774194,48.7823573720952,0.182132457333091,59.6228812325608,0.182132457333091,92.4154659104693,0.182132457333091
2025-11,2025,11,6342.934,26.1031805555556,48.7434969509904,0.188053614780056,59.5753851623216,0.188053614780056,92.3418470015985,0.188053614780056
2025-12,2025,12,5543.67870967742,23.5366935483871,45.2060068031136,0.168779893978172,55.2517860926944,0.168779893978172,85.6402684436763,0.168779893978172
2026-01,2026,1,5706.65709677419,23.2980376344086,46.2465865428948,0.172664973651788,56.5236057746492,0.172664973651788,87.6115889507063,0.172664973651788
2026-02,2026,2,5489.805,22.5922767857143,40.5232499442672,0.167506820206131,49.5284165985488,0.167506820206131,76.7690457277506,0.167506820206131
2026-03,2026,3,5728.44,22.5030779569892,46.6945531960536,0.174337489531263,57.0711205729544,0.174337489531263,88.4602368880793,0.174337489531263
2026-04,2026,4,5120.00003333333,22.5738888888889,40.8184985380931,0.157478775224125,49.8892759910027,0.157478775224125,77.3283777860541,0.157478775224125
2026-05,2026,5,5024.00006896552,22.9560416666667,38.6634137541957,0.154308005085392,47.2552834773503,0.154308005085392,73.245689389893,0.154308005085392
